summer_participation,summer_gold,summer_silver,summer_bronze,winter_ participation,winter_gold,winter_silver,winter_bronze,points per participation for summer games,points per participation for winter games,Color,Continent
14.0,0,0,2,0.0,0,0,0,0.14285714285714285,0.0,white,Asia
13.0,5,4,8,3.0,0,0,0,3.4615384615384617,0.0,black,Africa
24.0,21,25,28,19.0,0,0,0,8.666666666666666,0.0,brown,South America
6.0,2,6,6,7.0,0,0,0,5.666666666666667,0.0,green,Europe
2.0,3,4,5,0.0,0,0,0,16.0,0.0,gray,Unknown
26.0,147,163,187,19.0,5,5,5,54.26923076923077,2.3684210526315788,purple,Oceania
27.0,18,33,36,23.0,64,81,87,8.333333333333334,28.26086956521739,green,Europe
6.0,7,11,25,6.0,0,0,0,15.5,0.0,green,Europe
16.0,6,2,6,0.0,0,0,0,2.625,0.0,yellow,North America
9.0,2,1,0,0.0,0,0,0,1.4444444444444444,0.0,white,Asia
12.0,0,0,1,0.0,0,0,0,0.08333333333333333,0.0,yellow,North America
6.0,12,27,39,7.0,8,5,5,30.0,8.571428571428571,green,Europe
26.0,40,53,55,21.0,1,2,3,15.923076923076923,0.6666666666666666,green,Europe
18.0,0,0,1,8.0,0,0,0,0.05555555555555555,0.0,gray,Unknown
3.0,0,1,3,0.0,0,0,0,2.0,0.0,gray,Unknown
10.0,0,1,0,0.0,0,0,0,0.3,0.0,black,Africa
22.0,30,36,62,8.0,0,0,0,14.545454545454545,0.0,brown,South America
1.0,0,0,2,0.0,0,0,0,2.0,0.0,gray,Unknown
20.0,51,87,80,20.0,1,2,3,29.8,0.7,green,Europe
6.0,1,1,0,0.0,0,0,0,1.3333333333333333,0.0,black,Africa
14.0,3,1,2,1.0,0,0,0,1.4285714285714286,0.0,black,Africa
26.0,64,102,136,23.0,73,64,62,29.307692307692307,26.91304347826087,yellow,North America
23.0,2,7,4,17.0,0,0,0,1.5217391304347827,0.0,brown,South America
10.0,224,167,155,11.0,13,28,21,177.6,15.454545454545455,white,Asia
19.0,5,9,14,2.0,0,0,0,3.473684210526316,0.0,brown,South America
15.0,1,1,2,6.0,0,0,0,0.6666666666666666,0.0,yellow,North America
13.0,1,1,1,0.0,0,0,0,0.6923076923076923,0.0,black,Africa
7.0,11,10,12,8.0,4,6,1,13.857142857142858,4.875,green,Europe
20.0,78,68,79,0.0,0,0,0,33.65,0.0,yellow,North America
10.0,0,1,0,11.0,0,0,0,0.3,0.0,green,Europe
6.0,15,17,24,7.0,9,11,11,25.0,12.714285714285714,gray,Unknown
16.0,49,49,45,16.0,2,8,15,27.3125,3.0625,gray,Unknown
27.0,45,74,75,14.0,0,1,0,19.333333333333332,0.21428571428571427,green,Europe
8.0,0,0,1,0.0,0,0,0,0.125,0.0,black,Africa
14.0,3,2,2,0.0,0,0,0,1.6428571428571428,0.0,yellow,North America
14.0,1,1,0,1.0,0,0,0,0.5714285714285714,0.0,brown,South America
22.0,7,10,15,1.0,0,0,0,3.6363636363636362,0.0,black,Africa
5.0,0,0,1,1.0,0,0,0,0.2,0.0,black,Africa
12.0,9,9,16,10.0,4,2,1,7.333333333333333,2.7,green,Europe
13.0,22,11,20,2.0,0,0,0,12.538461538461538,0.0,black,Africa
14.0,1,0,0,3.0,0,0,0,0.35714285714285715,0.0,purple,Oceania
25.0,101,85,117,23.0,43,63,61,35.08,20.217391304347824,green,Europe
28.0,212,241,263,23.0,36,35,53,73.07142857142857,14.695652173913043,green,Europe
10.0,0,1,0,0.0,0,0,0,0.3,0.0,black,Africa
6.0,8,8,17,7.0,0,0,0,13.5,0.0,green,Europe
16.0,191,194,230,12.0,92,88,60,110.4375,65.33333333333333,green,Europe
3.0,28,54,36,3.0,8,6,5,112.66666666666667,21.0,gray,Unknown
5.0,153,129,127,6.0,39,36,35,255.8,56.333333333333336,gray,Unknown
5.0,56,67,81,6.0,11,15,13,112.4,18.833333333333332,gray,Unknown
14.0,0,1,3,2.0,0,0,0,0.42857142857142855,0.0,black,Africa
28.0,263,295,291,23.0,11,4,16,88.96428571428571,3.608695652173913,gray,Unknown
28.0,33,43,40,19.0,0,0,0,11.928571428571429,0.0,green,Europe
9.0,1,1,0,0.0,0,0,0,0.8888888888888888,0.0,yellow,North America
14.0,0,1,0,1.0,0,0,0,0.21428571428571427,0.0,yellow,North America
17.0,0,0,1,0.0,0,0,0,0.058823529411764705,0.0,brown,South America
15.0,0,1,1,0.0,0,0,0,0.26666666666666666,0.0,yellow,North America
16.0,1,1,1,5.0,0,0,0,0.5625,0.0,gray,Unknown
26.0,175,147,169,23.0,1,2,4,57.11538461538461,0.6521739130434783,green,Europe
20.0,0,2,2,18.0,0,0,0,0.4,0.0,green,Europe
24.0,9,7,12,10.0,0,0,0,3.25,0.0,white,Asia
15.0,7,13,12,0.0,0,0,0,5.733333333333333,0.0,white,Asia
16.0,19,22,28,11.0,0,0,0,11.8125,0.0,white,Asia
14.0,0,0,1,0.0,0,0,0,0.07142857142857142,0.0,white,Asia
21.0,9,10,12,7.0,0,0,0,4.142857142857143,0.0,green,Europe
16.0,1,1,7,7.0,0,0,0,0.9375,0.0,white,Asia
27.0,206,178,193,23.0,40,36,48,65.07407407407408,15.478260869565217,green,Europe
17.0,22,35,20,8.0,0,0,0,13.823529411764707,0.0,yellow,North America
22.0,142,135,162,21.0,14,22,22,58.04545454545455,7.523809523809524,white,Asia
10.0,1,0,0,0.0,0,0,0,0.5,0.0,white,Asia
6.0,15,20,27,7.0,1,3,4,27.0,2.5714285714285716,white,Asia
14.0,31,38,33,4.0,0,0,0,21.571428571428573,0.0,black,Africa
1.0,1,0,0,1.0,0,0,0,5.0,0.0,gray,Unknown
10.0,16,16,22,9.0,0,1,1,15.0,0.4444444444444444,gray,Unknown
17.0,90,87,90,18.0,31,25,14,47.11764705882353,13.555555555555555,gray,Unknown
12.0,0,0,2,0.0,0,0,0,0.16666666666666666,0.0,white,Asia
6.0,0,1,3,7.0,0,0,0,1.0,0.0,white,Asia
11.0,3,11,5,11.0,0,4,4,4.818181818181818,1.4545454545454546,green,Europe
17.0,0,2,2,17.0,0,0,0,0.47058823529411764,0.0,white,Asia
17.0,0,0,0,19.0,2,2,6,0.0,1.1578947368421053,green,Europe
9.0,6,7,12,9.0,0,0,0,7.0,0.0,green,Europe
23.0,1,1,0,9.0,0,2,0,0.34782608695652173,0.6666666666666666,green,Europe
6.0,0,0,1,6.0,0,0,0,0.16666666666666666,0.0,green,Europe
13.0,0,7,4,1.0,0,0,0,1.9230769230769231,0.0,white,Asia
9.0,0,0,1,0.0,0,0,0,0.1111111111111111,0.0,black,Africa
23.0,13,24,32,9.0,0,0,0,7.3478260869565215,0.0,yellow,North America
6.0,0,2,3,7.0,0,0,0,1.5,0.0,green,Europe
13.0,2,10,14,14.0,0,0,0,4.153846153846154,0.0,white,Asia
3.0,0,1,0,3.0,0,0,0,1.0,0.0,green,Europe
14.0,6,5,12,7.0,0,0,0,4.071428571428571,0.0,black,Africa
10.0,1,0,1,0.0,0,0,0,0.6,0.0,black,Africa
7.0,0,4,0,0.0,0,0,0,1.7142857142857142,0.0,black,Africa
26.0,85,92,108,21.0,45,44,41,31.115384615384617,18.952380952380953,green,Europe
13.0,0,1,0,2.0,0,0,0,0.23076923076923078,0.0,gray,Unknown
23.0,46,27,44,16.0,0,1,2,15.434782608695652,0.3125,purple,Oceania
12.0,0,1,1,0.0,0,0,0,0.3333333333333333,0.0,black,Africa
16.0,3,10,12,1.0,0,0,0,3.5625,0.0,black,Africa
25.0,56,49,47,23.0,132,125,111,18.96,49.82608695652174,green,Europe
17.0,3,3,4,3.0,0,0,0,1.6470588235294117,0.0,white,Asia
17.0,1,0,2,0.0,0,0,0,0.4117647058823529,0.0,yellow,North America
12.0,0,1,0,1.0,0,0,0,0.25,0.0,brown,South America
18.0,1,3,0,2.0,0,0,0,0.7777777777777778,0.0,brown,South America
21.0,0,3,7,5.0,0,0,0,0.7619047619047619,0.0,white,Asia
21.0,68,83,133,23.0,7,7,8,34.38095238095238,2.782608695652174,green,Europe
24.0,4,8,12,8.0,0,0,0,2.3333333333333335,0.0,green,Europe
18.0,1,2,6,7.0,0,0,0,0.9444444444444444,0.0,gray,Unknown
9.0,0,1,4,0.0,0,0,0,0.7777777777777778,0.0,white,Asia
21.0,89,95,122,21.0,0,0,1,40.57142857142857,0.047619047619047616,green,Europe
6.0,149,124,153,6.0,47,38,35,211.66666666666666,64.0,gray,Unknown
3.0,1,4,3,0.0,0,0,0,6.666666666666667,0.0,gray,Unknown
9.0,395,319,296,9.0,78,57,59,358.6666666666667,68.88888888888889,gray,Unknown
11.0,0,1,2,0.0,0,0,0,0.45454545454545453,0.0,white,Asia
9.0,0,1,0,0.0,0,0,0,0.3333333333333333,0.0,purple,Oceania
14.0,0,1,0,5.0,0,0,0,0.21428571428571427,0.0,black,Africa
4.0,3,6,6,3.0,0,0,0,9.75,0.0,green,Europe
1.0,0,2,0,1.0,0,0,0,6.0,0.0,gray,Unknown
