summer_participation,summer_gold,summer_silver,summer_bronze,winter_ participation,winter_gold,winter_silver,winter_bronze
14.0,0,0,2,0.0,0,0,0
13.0,5,4,8,3.0,0,0,0
24.0,21,25,28,19.0,0,0,0
6.0,2,6,6,7.0,0,0,0
2.0,3,4,5,0.0,0,0,0
26.0,147,163,187,19.0,5,5,5
27.0,18,33,36,23.0,64,81,87
6.0,7,11,25,6.0,0,0,0
16.0,6,2,6,0.0,0,0,0
9.0,2,1,0,0.0,0,0,0
12.0,0,0,1,0.0,0,0,0
6.0,12,27,39,7.0,8,5,5
26.0,40,53,55,21.0,1,2,3
18.0,0,0,1,8.0,0,0,0
3.0,0,1,3,0.0,0,0,0
10.0,0,1,0,0.0,0,0,0
22.0,30,36,62,8.0,0,0,0
1.0,0,0,2,0.0,0,0,0
20.0,51,87,80,20.0,1,2,3
6.0,1,1,0,0.0,0,0,0
14.0,3,1,2,1.0,0,0,0
26.0,64,102,136,23.0,73,64,62
23.0,2,7,4,17.0,0,0,0
10.0,224,167,155,11.0,13,28,21
19.0,5,9,14,2.0,0,0,0
15.0,1,1,2,6.0,0,0,0
13.0,1,1,1,0.0,0,0,0
7.0,11,10,12,8.0,4,6,1
20.0,78,68,79,0.0,0,0,0
10.0,0,1,0,11.0,0,0,0
6.0,15,17,24,7.0,9,11,11
16.0,49,49,45,16.0,2,8,15
27.0,45,74,75,14.0,0,1,0
8.0,0,0,1,0.0,0,0,0
14.0,3,2,2,0.0,0,0,0
14.0,1,1,0,1.0,0,0,0
22.0,7,10,15,1.0,0,0,0
5.0,0,0,1,1.0,0,0,0
12.0,9,9,16,10.0,4,2,1
13.0,22,11,20,2.0,0,0,0
14.0,1,0,0,3.0,0,0,0
25.0,101,85,117,23.0,43,63,61
28.0,212,241,263,23.0,36,35,53
10.0,0,1,0,0.0,0,0,0
6.0,8,8,17,7.0,0,0,0
16.0,191,194,230,12.0,92,88,60
3.0,28,54,36,3.0,8,6,5
5.0,153,129,127,6.0,39,36,35
5.0,56,67,81,6.0,11,15,13
14.0,0,1,3,2.0,0,0,0
28.0,263,295,291,23.0,11,4,16
28.0,33,43,40,19.0,0,0,0
9.0,1,1,0,0.0,0,0,0
14.0,0,1,0,1.0,0,0,0
17.0,0,0,1,0.0,0,0,0
15.0,0,1,1,0.0,0,0,0
16.0,1,1,1,5.0,0,0,0
26.0,175,147,169,23.0,1,2,4
20.0,0,2,2,18.0,0,0,0
24.0,9,7,12,10.0,0,0,0
15.0,7,13,12,0.0,0,0,0
16.0,19,22,28,11.0,0,0,0
14.0,0,0,1,0.0,0,0,0
21.0,9,10,12,7.0,0,0,0
16.0,1,1,7,7.0,0,0,0
27.0,206,178,193,23.0,40,36,48
17.0,22,35,20,8.0,0,0,0
22.0,142,135,162,21.0,14,22,22
10.0,1,0,0,0.0,0,0,0
6.0,15,20,27,7.0,1,3,4
14.0,31,38,33,4.0,0,0,0
1.0,1,0,0,1.0,0,0,0
10.0,16,16,22,9.0,0,1,1
17.0,90,87,90,18.0,31,25,14
12.0,0,0,2,0.0,0,0,0
6.0,0,1,3,7.0,0,0,0
11.0,3,11,5,11.0,0,4,4
17.0,0,2,2,17.0,0,0,0
17.0,0,0,0,19.0,2,2,6
9.0,6,7,12,9.0,0,0,0
23.0,1,1,0,9.0,0,2,0
6.0,0,0,1,6.0,0,0,0
13.0,0,7,4,1.0,0,0,0
9.0,0,0,1,0.0,0,0,0
23.0,13,24,32,9.0,0,0,0
6.0,0,2,3,7.0,0,0,0
13.0,2,10,14,14.0,0,0,0
3.0,0,1,0,3.0,0,0,0
14.0,6,5,12,7.0,0,0,0
10.0,1,0,1,0.0,0,0,0
7.0,0,4,0,0.0,0,0,0
26.0,85,92,108,21.0,45,44,41
13.0,0,1,0,2.0,0,0,0
23.0,46,27,44,16.0,0,1,2
12.0,0,1,1,0.0,0,0,0
16.0,3,10,12,1.0,0,0,0
25.0,56,49,47,23.0,132,125,111
17.0,3,3,4,3.0,0,0,0
17.0,1,0,2,0.0,0,0,0
12.0,0,1,0,1.0,0,0,0
18.0,1,3,0,2.0,0,0,0
21.0,0,3,7,5.0,0,0,0
21.0,68,83,133,23.0,7,7,8
24.0,4,8,12,8.0,0,0,0
18.0,1,2,6,7.0,0,0,0
9.0,0,1,4,0.0,0,0,0
21.0,89,95,122,21.0,0,0,1
6.0,149,124,153,6.0,47,38,35
3.0,1,4,3,0.0,0,0,0
9.0,395,319,296,9.0,78,57,59
11.0,0,1,2,0.0,0,0,0
9.0,0,1,0,0.0,0,0,0
14.0,0,1,0,5.0,0,0,0
4.0,3,6,6,3.0,0,0,0
1.0,0,2,0,1.0,0,0,0
16.0,1,2,2,1.0,0,0,0
6.0,9,12,7,7.0,3,4,1
7.0,5,8,10,8.0,2,5,10
19.0,26,31,29,7.0,0,0,0
23.0,45,64,41,20.0,1,0,3
17.0,0,2,0,0.0,0,0,0
12.0,0,1,0,0.0,0,0,0
12.0,1,0,1,0.0,0,0,0
27.0,145,170,179,23.0,57,46,55
28.0,50,75,67,23.0,55,46,52
13.0,1,1,1,0.0,0,0,0
14.0,5,7,12,12.0,0,0,0
6.0,1,1,2,4.0,0,0,0
13.0,0,2,0,0.0,0,0,0
16.0,9,8,16,4.0,0,0,0
10.0,0,0,1,2.0,0,0,0
9.0,0,1,0,2.0,0,0,0
17.0,2,6,11,3.0,0,0,0
14.0,4,2,7,0.0,0,0,0
